Household level identifier,Id,Monthly rent payment,=1 Overcrowding by bedrooms, number of all rooms in the house,=1 Overcrowding by rooms,=1 if the household has refrigerator,number of tablets household owns,Males younger than 12 years of age,Males 12 years of age and older,Total males in the household,Females younger than 12 years of age,Females 12 years of age and older,Total females in the household,persons younger than 12 years of age,persons 12 years of age and older,years of schooling,Years behind in school,=1 if predominant material on the outside wall is block or brick,"=1 if predominant material on the outside wall is socket (wood, zinc or absbesto",=1 if predominant material on the outside wall is prefabricated or cement,=1 if predominant material on the outside wall is waste material,=1 if predominant material on the outside wall is wood ,=1 if predominant material on the outside wall is zink,=1 if predominant material on the outside wall is natural fibers,"=1 if predominant material on the floor is mosaic, ceramic, terrazo",=1 if predominant material on the floor is cement,=1 if predominant material on the floor is  natural material,=1 if no floor at the household,=1 if predominant material on the floor is wood,=1 if predominant material on the roof is metal foil or zink,"=1 if predominant material on the roof is fiber cement, mezzanine ",=1 if predominant material on the roof is natural fibers,=1 if the house has ceiling,=1 if water provision inside the dwelling,=1 if water provision outside the dwelling,"=1 electricity from CNFL, ICE, ESPH/JASEC",=1 electricity from private plant,=1 no electricity in the dwelling,=1 electricity from cooperative,=1 no toilet in the dwelling,=1 toilet connected to sewer or cesspool,=1 toilet connected to  septic tank,=1 toilet connected to black hole or letrine,=1 main source of energy used for cooking electricity,=1 main source of energy used for cooking gas,=1 main source of energy used for cooking wood charcoal,=1 if rubbish disposal mainly by tanker truck,=1 if rubbish disposal mainly by botan hollow or buried,=1 if rubbish disposal mainly by burning,=1 if rubbish disposal mainly by throwing in an unoccupied space,"=1 if rubbish disposal mainly by throwing in river, creek or sea",=1 if disable person,=1 if male,=1 if less than 10 years old,=1 if free or coupled uunion,=1 if married,=1 if divorced,=1 if separated,=1 if widow/er,=1 if household head,=1 if spouse/partner,=1 if son/doughter,=1 if stepson/doughter,=1 if son/doughter in law,=1 if grandson/doughter,=1 if mother/father,=1 if father/mother in law,=1 if brother/sister,=1 if brother/sister in law,=1 if other family member,Number of children 0 to 19 in household,Number of adults in household,# of individuals 65+ in the household,# of total individuals in the household,Dependency rate,average years of education for adults (18+),number of bedrooms,# persons per room,=1 own and fully paid house,"=1 own, paying in installments",=1 rented,=1 precarious,=1 if the household has notebook or desktop computer,=1 if the household has TV,# of mobile phones,=1 region Chorotega,=1 region PacÃƒÂ­fico central,=1 region Brunca,=1 region Huetar AtlÃƒÂ¡ntica,=1 region Huetar Norte,=2 zona rural,Age in years,Years of education of head of household,wall_condition,roof_condition,floor_condition,education_level,Target
d6dae86b7,ID_db44f5c59,130000.0,1,2,0,1,0.0,0,1,1,2,1,3,2,2,3,1.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,4,1.0,10.0,1,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,11,9,1,1,2,2,4
bb2094100,ID_de822510c,100000.0,0,3,0,1,0.0,0,0,0,0,2,2,0,2,12,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1.0,23.0,2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,18,11,3,3,3,7,4
bb2094100,ID_d94071d7c,100000.0,0,3,0,1,0.0,0,0,0,0,2,2,0,2,11,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1.0,23.0,2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,34,11,3,3,3,5,4
c51f9c774,ID_064b57869,0.0,0,4,0,1,1.0,0,1,1,0,1,1,0,2,4,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1.0,9.5,2,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,79,4,3,3,2,2,4
c51f9c774,ID_5c837d8a4,0.0,0,4,0,1,1.0,0,1,1,0,1,1,0,2,15,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1.0,9.5,2,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,39,4,3,3,2,8,4
6893e65ca,ID_0a39e419e,90000.0,1,2,0,1,0.0,0,2,2,0,2,2,0,4,11,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,4,3.0,17.0,1,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,19,10,1,1,1,5,4
6893e65ca,ID_4ff51f90c,90000.0,1,2,0,1,0.0,0,2,2,0,2,2,0,4,2,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,4,3.0,17.0,1,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,70,10,1,1,1,2,4
6893e65ca,ID_336c51386,90000.0,1,2,0,1,0.0,0,2,2,0,2,2,0,4,11,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,3.0,17.0,1,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,19,10,1,1,1,5,4
6893e65ca,ID_c51938edf,90000.0,1,2,0,1,0.0,0,2,2,0,2,2,0,4,10,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,4,3.0,17.0,1,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,50,10,1,1,1,4,4
d29058053,ID_35b66f7c6,215000.0,0,4,0,1,0.0,0,1,1,0,1,1,0,2,12,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,13.5,2,1.0,0,0,1,0,0,0,2,0,0,0,0,0,0,22,15,3,3,3,7,4
d29058053,ID_74a2bc523,215000.0,0,4,0,1,0.0,0,1,1,0,1,1,0,2,15,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,13.5,2,1.0,0,0,1,0,0,0,2,0,0,0,0,0,0,26,15,3,3,3,8,4
ec0e8edce,ID_15d393ce7,150000.0,0,3,0,1,0.0,0,1,1,0,1,1,0,2,4,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8.0,10.0,1,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,69,4,1,1,1,2,4
ec0e8edce,ID_a0bff0ba7,150000.0,0,3,0,1,0.0,0,1,1,0,1,1,0,2,16,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,8.0,10.0,1,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,66,4,1,1,1,8,4
3e16fab89,ID_848b0fdf1,100000.0,1,1,1,1,0.0,0,2,2,0,1,1,0,3,6,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.0,10.333333,1,3.0,0,0,1,0,0,0,3,0,0,0,0,0,0,41,6,3,3,3,3,4
3e16fab89,ID_298d857e5,100000.0,1,1,1,1,0.0,0,2,2,0,1,1,0,3,13,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0.0,10.333333,1,3.0,0,0,1,0,0,0,3,0,0,0,0,0,0,20,6,3,3,3,8,4
3e16fab89,ID_1d5bf8ddf,100000.0,1,1,1,1,0.0,0,2,2,0,1,1,0,3,12,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0.0,10.333333,1,3.0,0,0,1,0,0,0,3,0,0,0,0,0,0,40,6,3,3,3,7,4
1e84a2ac8,ID_e5cdba865,0.0,0,5,0,1,0.0,0,1,1,0,0,0,0,1,15,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,15.0,2,0.5,1,0,0,0,0,0,2,0,0,0,0,0,0,44,15,2,2,2,8,4
759df0194,ID_e18530139,120000.0,0,4,0,1,1.0,0,2,2,0,1,1,0,3,6,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0.5,6.666666499999999,2,1.5,0,0,1,0,0,1,3,0,0,0,0,0,0,69,6,3,3,3,3,4
759df0194,ID_cba035c44,120000.0,0,4,0,1,1.0,0,2,2,0,1,1,0,3,6,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,3,0.5,6.666666499999999,2,1.5,0,0,1,0,0,1,3,0,0,0,0,0,0,62,6,3,3,3,3,4
759df0194,ID_b6c1c7e65,120000.0,0,4,0,1,1.0,0,2,2,0,1,1,0,3,8,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,3,0.5,6.666666499999999,2,1.5,0,0,1,0,0,1,3,0,0,0,0,0,0,33,6,3,3,3,4,4
f2fcf00fd,ID_96b1fbc81,100000.0,0,5,0,1,0.0,0,1,1,0,1,1,0,2,8,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,9.5,2,1.0,0,0,1,0,0,0,2,0,0,0,0,0,0,35,8,2,2,3,4,4
f2fcf00fd,ID_422226730,100000.0,0,5,0,1,0.0,0,1,1,0,1,1,0,2,11,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,9.5,2,1.0,0,0,1,0,0,0,2,0,0,0,0,0,0,28,8,2,2,3,5,4
cb6bb28dd,ID_e24d9c3c9,0.0,0,5,0,1,0.0,0,4,4,0,1,1,0,5,1,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,5,0.25,5.25,3,1.6666666,1,0,0,0,0,0,3,0,0,0,0,0,0,28,11,2,2,3,2,4
cb6bb28dd,ID_be1c0c929,0.0,0,5,0,1,0.0,0,4,4,0,1,1,0,5,11,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,5,0.25,5.25,3,1.6666666,1,0,0,0,0,0,3,0,0,0,0,0,0,56,11,2,2,3,5,4
cb6bb28dd,ID_18ffaadc6,0.0,0,5,0,1,0.0,0,4,4,0,1,1,0,5,6,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,5,0.25,5.25,3,1.6666666,1,0,0,0,0,0,3,0,0,0,0,0,0,30,11,2,2,3,3,4
cb6bb28dd,ID_beb36ce09,0.0,0,5,0,1,0.0,0,4,4,0,1,1,0,5,0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,5,0.25,5.25,3,1.6666666,1,0,0,0,0,0,3,0,0,0,0,0,0,19,11,2,2,3,1,4
cb6bb28dd,ID_57b05a403,0.0,0,5,0,1,0.0,0,4,4,0,1,1,0,5,3,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,5,0.25,5.25,3,1.6666666,1,0,0,0,0,0,3,0,0,0,0,0,0,52,11,2,2,3,2,4
cbf24a06c,ID_01f1e94b3,80000.0,0,4,0,1,0.0,0,2,2,0,1,1,0,3,6,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,3,0.5,7.0,2,1.5,0,0,1,0,0,0,2,0,0,0,0,0,0,36,8,1,2,1,3,4
cbf24a06c,ID_0f01e18e9,80000.0,0,4,0,1,0.0,0,2,2,0,1,1,0,3,8,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,3,0.5,7.0,2,1.5,0,0,1,0,0,0,2,0,0,0,0,0,0,15,8,1,2,1,4,4
cbf24a06c,ID_e73a7a162,80000.0,0,4,0,1,0.0,0,2,2,0,1,1,0,3,8,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0.5,7.0,2,1.5,0,0,1,0,0,0,2,0,0,0,0,0,0,37,8,1,2,1,4,4
922a1f87a,ID_488b8ac27,90000.0,0,5,0,1,1.0,0,1,1,0,1,1,0,2,9,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,11.0,2,1.0,0,0,1,0,0,0,2,0,0,0,0,0,0,44,9,2,3,3,4,4
922a1f87a,ID_1f68e9b45,90000.0,0,5,0,1,1.0,0,1,1,0,1,1,0,2,13,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0.0,11.0,2,1.0,0,0,1,0,0,0,2,0,0,0,0,0,0,24,9,2,3,3,8,4
a57a1f2f4,ID_e3869ade2,0.0,0,8,0,1,1.0,0,2,2,0,1,1,0,3,8,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,3,2.0,15.5,3,1.0,1,0,0,0,1,0,3,0,0,0,0,0,0,15,15,3,3,3,4,4
a57a1f2f4,ID_451a7e35a,0.0,0,8,0,1,1.0,0,2,2,0,1,1,0,3,15,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,3,2.0,15.5,3,1.0,1,0,0,0,1,0,3,0,0,0,0,0,0,76,15,3,3,3,8,4
a57a1f2f4,ID_cf3c3d7ec,0.0,0,8,0,1,1.0,0,2,2,0,1,1,0,3,16,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,3,2.0,15.5,3,1.0,1,0,0,0,1,0,3,0,0,0,0,0,0,44,15,3,3,3,8,4
9b084b23d,ID_feda408ee,0.0,0,4,0,1,0.0,0,1,1,0,1,1,0,2,17,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8.0,10.0,2,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,69,17,2,2,2,8,4
9b084b23d,ID_4dd2eaeba,0.0,0,4,0,1,0.0,0,1,1,0,1,1,0,2,3,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,8.0,10.0,2,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,94,17,2,2,2,2,4
6ddd55b3e,ID_34d68201f,0.0,0,5,0,1,1.0,0,1,1,1,1,2,1,2,16,0.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,3,0.5,13.5,2,1.5,1,0,0,0,0,0,2,0,0,0,0,0,0,45,11,2,2,3,8,4
6ddd55b3e,ID_839160e1d,0.0,0,5,0,1,1.0,0,1,1,1,1,2,1,2,2,0.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,3,0.5,13.5,2,1.5,1,0,0,0,0,0,2,0,0,0,0,0,0,8,11,2,2,3,2,4
6ddd55b3e,ID_340865cda,0.0,0,5,0,1,1.0,0,1,1,1,1,2,1,2,11,0.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0.5,13.5,2,1.5,1,0,0,0,0,0,2,0,0,0,0,0,0,48,11,2,2,3,5,4
